Record_ID,Task_ID,Device_ID,Server_ID,Task_Type,Device_Class,Mobility_Status,Data_Size_MB,Comp_Demand_Cycles,Bandwidth_Mbps,Latency_ms,CPU_Freq_GHz,Memory_MB,Task_Offloaded,Overload_Flag,Chaos_Flag,Energy_Consumption_J,Timestamp
1,569,35,8,Control_Command,Mid-End,Slow,2.19,4027509999,38.65,29.68,3.25,32044,Yes,Yes,No,17.89,2024-07-04 04:03:12
2,867,55,1,Video_Stream,Low-End,Static,4.78,7621120154,18.47,21.5,4.55,30283,Yes,Yes,No,4.23,2024-01-29 10:00:48
3,1706,351,6,Control_Command,Mid-End,Fast,3.79,4134413157,37.25,43.97,3.61,25471,Yes,Yes,Yes,10.37,2024-03-25 08:07:36
4,595,28,6,Health_Monitor,High-End,Static,3.19,1682771282,74.38,19.55,4.61,10644,Yes,Yes,No,13.51,2024-02-27 03:43:54
5,440,344,9,AR_VR_App,Low-End,Slow,1.2,8828083361,69.18,11.91,3.68,11730,Yes,Yes,No,13.57,2024-07-14 19:51:22
6,200,164,9,Data_Upload,Mid-End,Static,1.2,6801048375,26.92,33.78,4.75,19316,Yes,Yes,No,10.34,2024-02-14 21:29:57
7,668,109,5,Health_Monitor,Mid-End,Slow,0.76,6238888436,20.06,6.92,4.78,14525,Yes,Yes,No,8.28,2024-05-10 01:09:25
8,1847,24,1,AR_VR_App,Mid-End,Slow,4.4,4249179501,69.48,22.06,2.52,10041,Yes,Yes,No,7.77,2024-01-30 03:24:40
9,934,161,1,Data_Upload,Mid-End,Static,3.21,6989595273,70.87,41.34,3.46,7353,Yes,Yes,Yes,19.54,2024-03-18 08:28:15
10,279,499,7,Health_Monitor,Mid-End,Static,3.69,7612912858,42.95,18.28,4.72,17611,Yes,Yes,No,8.45,2024-05-31 21:55:07
11,1159,478,4,AR_VR_App,Mid-End,Fast,0.59,4542248954,85.85,46.91,2.53,21344,Yes,Yes,Yes,12.67,2024-01-29 20:26:03
12,294,372,9,AR_VR_App,High-End,Static,4.86,1298661516,98.04,48.01,2.76,27594,Yes,Yes,Yes,12.63,2024-03-13 23:39:41
13,205,165,3,Health_Monitor,Mid-End,Static,4.25,9558708478,28.51,41.71,3.58,31358,Yes,Yes,Yes,12.49,2024-07-20 19:50:26
14,877,397,6,Video_Stream,Mid-End,Static,1.46,5555677407,61.94,49.44,4.95,14461,Yes,Yes,Yes,13.37,2024-05-09 08:01:33
15,1721,272,9,Control_Command,Mid-End,Slow,1.32,2267416828,10.48,28.88,4.82,7570,Yes,Yes,No,7.09,2024-05-16 21:27:16
16,85,112,4,Control_Command,High-End,Static,1.33,4290038938,74.17,30.61,3.96,21545,Yes,Yes,No,8.43,2024-04-03 00:14:11
17,293,427,5,Video_Stream,Mid-End,Static,1.87,4120725503,47.29,42.63,3.13,9010,Yes,Yes,Yes,3.73,2024-03-03 15:23:12
18,390,73,5,AR_VR_App,Low-End,Static,2.86,4220505113,27.39,27.18,4.1,18542,Yes,Yes,No,12.49,2024-04-19 10:07:01
19,1162,50,5,Data_Upload,Mid-End,Slow,2.44,3407091667,77.7,23.3,3.31,14064,Yes,Yes,No,6.68,2024-03-02 07:50:21
20,411,111,2,Video_Stream,Mid-End,Static,1.81,8117690348,82.96,32.66,4.13,18933,Yes,Yes,No,5.5,2024-04-18 03:43:16
21,509,13,2,AR_VR_App,Low-End,Slow,3.25,4365873488,20.0,34.59,2.92,16379,Yes,Yes,No,17.08,2024-02-15 13:49:57
22,1908,71,1,Health_Monitor,Low-End,Static,1.13,9976675245,13.69,38.79,4.0,18649,Yes,Yes,No,12.68,2024-02-16 13:04:12
23,1242,419,1,Health_Monitor,Mid-End,Static,1.81,7071426654,40.07,35.07,4.23,13370,Yes,Yes,No,12.27,2024-04-20 21:58:51
24,618,492,4,AR_VR_App,High-End,Fast,2.15,9190740525,66.34,38.56,4.29,31787,Yes,Yes,No,5.23,2024-03-30 01:34:55
25,1081,474,3,Health_Monitor,Low-End,Static,2.55,8799229222,81.41,35.36,4.94,6248,Yes,Yes,No,10.28,2024-05-19 19:31:24
26,92,498,4,Control_Command,Mid-End,Static,4.03,2100467766,59.15,26.62,2.57,8933,Yes,Yes,No,12.22,2024-02-23 13:46:55
27,784,201,6,Video_Stream,Mid-End,Static,1.4,2299159059,62.27,11.07,2.69,30338,Yes,Yes,No,10.17,2024-02-12 20:05:57
28,1394,291,1,Control_Command,Mid-End,Static,2.81,5859624569,81.99,40.34,4.01,16458,Yes,Yes,Yes,11.84,2024-04-07 22:53:17
29,571,24,8,AR_VR_App,High-End,Static,3.17,906285949,57.6,6.39,3.71,12212,Yes,Yes,No,2.76,2024-06-29 13:10:00
30,1436,481,8,Video_Stream,High-End,Slow,0.71,8323805394,65.0,49.66,4.07,11054,Yes,Yes,Yes,5.99,2024-06-18 07:00:03
31,771,469,7,Health_Monitor,Low-End,Static,3.23,2406067844,56.46,42.28,4.23,24551,Yes,Yes,Yes,6.29,2024-07-21 02:31:56
32,1977,437,4,Video_Stream,Mid-End,Static,1.27,3225722769,89.24,35.19,2.59,23466,Yes,Yes,No,9.12,2024-02-03 08:17:51
33,193,214,8,Video_Stream,Mid-End,Static,0.79,2713636401,31.2,48.5,3.71,22875,Yes,Yes,Yes,18.96,2024-04-06 02:54:18
34,1141,295,9,Health_Monitor,High-End,Static,4.77,1144849935,33.76,32.56,3.74,23637,Yes,Yes,No,11.97,2024-03-22 03:40:38
35,707,147,5,Data_Upload,Low-End,Static,4.85,8163262163,21.52,7.54,4.05,8054,Yes,Yes,No,6.99,2024-04-29 10:07:14
36,670,428,6,Health_Monitor,High-End,Static,4.14,3290768659,83.75,30.17,3.4,27425,Yes,Yes,No,15.04,2024-05-18 23:08:40
37,1299,382,10,Control_Command,Low-End,Static,1.87,8259824866,47.06,17.47,2.67,25599,Yes,Yes,No,6.33,2024-04-25 05:55:19
38,1377,174,8,Data_Upload,High-End,Static,0.94,925375609,41.31,21.63,3.31,9375,Yes,Yes,No,5.26,2024-04-26 12:56:06
39,904,429,5,Control_Command,High-End,Static,3.58,4767546117,98.32,25.68,3.04,29887,Yes,Yes,No,7.71,2024-03-16 09:43:13
40,1470,416,4,AR_VR_App,Mid-End,Slow,2.48,5842383235,93.41,39.86,4.47,23298,Yes,Yes,No,7.62,2024-07-20 23:35:39
41,1811,5,8,Control_Command,Low-End,Slow,1.05,4949036018,97.48,27.63,4.7,8905,Yes,Yes,No,9.87,2024-02-10 22:10:40
42,1060,332,3,Video_Stream,Mid-End,Slow,2.73,9803362478,22.81,26.36,2.93,19191,Yes,Yes,No,15.0,2024-07-03 06:13:51
43,624,360,6,AR_VR_App,Low-End,Slow,0.65,4003369473,90.21,18.59,4.02,15169,Yes,Yes,No,12.63,2024-06-07 08:54:47
44,741,390,9,Data_Upload,Mid-End,Static,4.59,4485901903,39.58,29.29,3.0,5333,Yes,Yes,No,11.12,2024-03-04 16:49:49
45,197,338,6,Control_Command,High-End,Slow,1.66,1594705979,11.14,16.18,4.58,7619,Yes,Yes,No,19.1,2024-04-29 09:49:42
46,1852,7,9,AR_VR_App,Mid-End,Fast,3.48,6182182837,45.22,16.74,4.43,6527,Yes,Yes,No,3.06,2024-07-04 20:16:40
47,290,211,8,Control_Command,Mid-End,Slow,1.9,4467594373,55.83,39.08,3.95,28909,Yes,Yes,No,9.57,2024-03-19 11:48:24
48,1719,271,9,Video_Stream,Mid-End,Static,2.84,7049444688,19.74,20.41,3.29,22780,Yes,Yes,No,14.49,2024-02-06 08:20:21
49,1510,490,10,Video_Stream,High-End,Static,2.96,4665956883,58.39,7.31,4.96,7581,Yes,Yes,No,8.11,2024-01-31 11:29:07
50,766,329,9,Data_Upload,Mid-End,Static,1.33,9153171645,83.75,20.47,4.12,21034,Yes,Yes,No,10.82,2024-05-04 09:44:53
51,1435,276,8,Health_Monitor,Low-End,Static,4.86,2892805583,43.99,33.74,4.35,24128,Yes,Yes,No,3.03,2024-02-08 07:40:53
52,1447,240,9,Health_Monitor,Mid-End,Slow,3.99,4302962202,41.74,41.63,4.7,6226,Yes,Yes,Yes,6.06,2024-06-16 11:27:25
53,1263,315,7,Video_Stream,Mid-End,Static,4.73,8541510067,40.49,48.29,4.56,21427,Yes,Yes,Yes,3.93,2024-03-17 23:51:49
54,1322,468,7,AR_VR_App,Mid-End,Static,4.53,1887827390,93.08,38.58,4.55,19727,Yes,Yes,No,19.49,2024-05-29 14:24:16
55,1066,4,4,Data_Upload,Mid-End,Static,3.19,5535277758,14.39,24.3,3.14,27638,Yes,Yes,No,15.53,2024-07-05 16:42:22
56,1011,202,1,Control_Command,High-End,Fast,4.65,1399623408,50.06,18.46,3.29,30100,Yes,Yes,No,13.93,2024-02-28 09:38:38
57,88,106,7,Control_Command,Low-End,Static,0.9,1254406883,33.81,10.83,3.48,23601,Yes,Yes,No,2.54,2024-02-27 08:58:45
58,176,40,8,AR_VR_App,Low-End,Static,1.38,2385978321,90.44,33.25,4.79,22696,Yes,Yes,No,10.66,2024-06-14 19:37:24
59,927,65,9,Health_Monitor,High-End,Static,0.7,6494258759,18.64,27.94,2.64,10106,Yes,Yes,No,14.89,2024-03-30 21:17:02
60,278,35,1,Video_Stream,Mid-End,Static,1.96,1852322454,47.03,35.5,3.15,28703,Yes,Yes,No,13.14,2024-05-11 21:14:44
61,1367,472,9,Video_Stream,Mid-End,Static,2.25,1007462333,46.61,15.67,3.61,21056,Yes,Yes,No,11.5,2024-05-04 13:10:47
62,1321,44,7,Data_Upload,Mid-End,Static,1.72,6467313043,89.96,19.56,4.29,15225,Yes,Yes,No,17.01,2024-03-19 05:02:11
63,1304,263,7,Video_Stream,High-End,Slow,4.23,5859992302,29.39,18.14,2.91,21569,Yes,Yes,No,8.37,2024-06-01 17:58:06
64,424,150,3,Health_Monitor,Mid-End,Static,2.11,2999916450,68.04,40.89,3.77,11376,Yes,Yes,Yes,17.18,2024-02-15 01:42:55
65,1440,279,1,Health_Monitor,High-End,Slow,1.76,2086380333,22.1,12.71,3.34,9374,Yes,Yes,No,9.29,2024-02-20 05:33:53
66,1843,65,7,AR_VR_App,Mid-End,Slow,2.94,2488226988,95.86,32.38,3.04,8849,Yes,Yes,No,12.66,2024-07-01 05:49:29
67,33,344,10,Data_Upload,Low-End,Static,1.13,9913382365,63.37,7.31,2.65,14189,Yes,Yes,No,11.6,2024-07-15 15:22:13
68,1052,276,8,Data_Upload,Low-End,Static,4.11,8794045710,66.36,29.73,4.56,20842,Yes,Yes,No,9.68,2024-06-23 02:18:46
69,209,32,6,Video_Stream,High-End,Static,0.84,5479740993,49.04,7.88,4.21,30352,Yes,Yes,No,7.16,2024-04-30 13:53:39
70,602,479,7,Control_Command,High-End,Static,4.94,7603344383,40.81,12.91,3.2,8967,Yes,Yes,No,10.35,2024-06-23 17:02:28
71,1618,353,9,Data_Upload,High-End,Static,3.98,8328847034,29.14,10.09,3.47,24251,Yes,Yes,No,4.62,2024-06-06 09:09:13
72,248,164,8,Video_Stream,Mid-End,Fast,1.39,3033541327,64.36,20.6,3.87,25142,Yes,Yes,No,8.52,2024-06-12 00:25:04
73,1402,402,5,Control_Command,Mid-End,Static,0.52,724881021,95.91,20.47,3.3,5984,Yes,Yes,No,12.65,2024-07-15 04:10:14
74,847,485,4,Video_Stream,Mid-End,Static,4.17,4461807927,42.38,42.19,2.97,16443,Yes,Yes,Yes,3.58,2024-07-15 19:33:01
